City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Saskylakh,RU,2020-12-26 13:59:09,71.92,114.08,-13.25,88,100,13.98
96,Vestmannaeyjar,IS,2020-12-26 13:59:10,63.44,-20.27,26.6,92,20,8.05
97,Portland,US,2020-12-26 13:58:39,45.52,-122.68,46.0,95,85,1.99
98,Camapua,BR,2020-12-26 13:59:10,-19.53,-54.04,89.64,42,0,7.58
99,Carnarvon,AU,2020-12-26 13:59:10,-24.87,113.63,75.2,100,40,24.16
100,Laja,CL,2020-12-26 13:59:10,-37.27,-72.7,64.4,72,75,13.87
101,Klaksvik,FO,2020-12-26 13:59:11,62.23,-6.59,39.2,100,100,9.17
102,Solnechnyy,RU,2020-12-26 13:59:11,50.72,136.63,-12.48,88,100,0.92
103,Hede,CN,2020-12-26 13:59:11,33.77,120.25,47.43,80,100,6.04
104,Semirom,IR,2020-12-26 13:59:12,31.42,51.57,21.25,73,0,4.09
105,Cidreira,BR,2020-12-26 13:59:12,-30.18,-50.21,76.57,71,99,13.98
106,Komsomolskiy,UZ,2020-12-26 13:59:13,40.43,71.72,35.6,76,75,6.93
107,Carbondale,US,2020-12-26 13:55:35,37.73,-89.22,27.0,73,1,8.05
108,Kaitangata,NZ,2020-12-26 13:59:13,-46.28,169.85,46.0,78,5,5.01
109,Ahipara,NZ,2020-12-26 13:59:14,-35.17,173.17,56.61,79,0,8.77
110,Marshall,US,2020-12-26 13:59:14,34.38,-86.33,26.01,85,1,2.95
111,Altagracia De Orituco,VE,2020-12-26 13:59:14,9.86,-66.38,80.78,62,23,4.34
112,Jalu,LY,2020-12-26 13:59:14,29.03,21.55,67.91,38,0,3.8
113,Hamilton,US,2020-12-26 13:55:44,39.18,-84.53,17.01,66,1,10.29
114,Saint-Augustin,CA,2020-12-26 13:59:15,51.23,-58.65,40.57,92,69,10.04
115,Tiksi,RU,2020-12-26 13:59:15,71.69,128.87,-11.87,90,100,7.74
116,Vila Velha,BR,2020-12-26 13:55:24,-20.33,-40.29,82.4,69,40,5.82
117,Provideniya,RU,2020-12-26 13:59:16,64.38,-173.3,17.55,84,100,11.43
118,Boa Vista,BR,2020-12-26 13:55:09,2.82,-60.67,82.4,69,90,5.82
119,Oussouye,SN,2020-12-26 13:59:16,12.48,-16.55,84.2,51,0,4.7
120,La Ronge,CA,2020-12-26 13:59:16,55.1,-105.28,5.0,92,54,2.24
121,Unai,BR,2020-12-26 13:59:16,-16.36,-46.91,81.61,63,71,3.8
122,Mahebourg,MU,2020-12-26 13:59:17,-20.41,57.7,82.4,74,75,16.11
123,Ginir,ET,2020-12-26 13:59:17,7.13,40.7,71.73,28,0,12.19
124,Hithadhoo,MV,2020-12-26 13:57:04,-0.6,73.08,82.33,66,1,5.73
125,Mao,ES,2020-12-26 13:59:17,39.89,4.27,46.4,61,75,17.22
126,Ati,TD,2020-12-26 13:59:18,13.22,18.34,90.25,13,0,10.45
127,Kwinana,AU,2020-12-26 13:59:18,-32.25,115.77,78.01,36,0,14.99
128,Nikolskoye,RU,2020-12-26 13:59:18,59.7,30.79,23.0,85,75,8.95
129,Mar Del Plata,AR,2020-12-26 13:59:18,-38.0,-57.56,75.2,78,75,12.75
130,Smoky Lake,CA,2020-12-26 13:59:18,54.12,-112.47,23.0,92,95,3.36
131,Saint George,US,2020-12-26 13:59:19,37.1,-113.58,26.6,38,1,4.14
132,Faanui,PF,2020-12-26 13:59:19,-16.48,-151.75,80.35,73,100,8.59
133,Thompson,CA,2020-12-26 13:59:19,55.74,-97.86,-18.4,82,75,2.24
134,San Patricio,US,2020-12-26 13:59:19,28.02,-97.52,46.99,75,1,5.73
135,Half Moon Bay,US,2020-12-26 13:59:20,37.46,-122.43,55.4,82,40,6.93
136,Riyadh,SA,2020-12-26 13:56:06,24.69,46.72,60.8,14,0,8.05
137,Kitob,UZ,2020-12-26 13:59:20,39.08,66.83,32.07,97,100,7.05
138,Port Lincoln,AU,2020-12-26 13:59:20,-34.73,135.87,73.33,47,100,11.63
139,Roma,US,2020-12-26 13:59:20,43.21,-75.46,24.8,62,90,6.93
140,Bull Savanna,JM,2020-12-26 13:59:21,17.89,-77.59,74.98,78,8,9.01
141,Vostok,RU,2020-12-26 13:59:21,46.49,135.88,-16.71,89,23,6.26
142,Meulaboh,ID,2020-12-26 13:59:21,4.14,96.13,77.83,85,100,7.31
143,Luban,PL,2020-12-26 13:58:48,51.12,15.29,35.01,68,51,5.99
144,Kidal,ML,2020-12-26 13:59:21,18.44,1.41,82.62,14,100,11.39
145,Coquimbo,CL,2020-12-26 13:59:22,-29.95,-71.34,59.0,93,90,3.36
146,Kodiak,US,2020-12-26 13:59:12,57.79,-152.41,30.2,92,75,4.7
147,Hilo,US,2020-12-26 13:59:22,19.73,-155.09,66.2,77,1,6.93
148,Qaanaaq,GL,2020-12-26 13:59:22,77.48,-69.36,-13.0,82,32,1.41
